date,description,amount
12/18/22,"This date may not be the same date your bank will debit your bank account. Any inquiry to American Express concerning this debit should be made before 12/16/22. If your AutoPay payment is less than your Minimum Payment Due, we must receive an additional payment for at least the difference by12/18/22. For more information on your Pay Over Time Limit and your purchasing options, please seepage 5 Congratulations! You saved with offers and benefits this statement period. Please refer to the Payments and Credits section of your statement. View all available offers and benefits when you log in to your online Card account atamericanexpress.com Payments and Credits Summary Pay Over Time / Pay In Full Cash Advance Total Payments $0.00 -$484.95t -$484.95 Credits $0.00 -$660.00 -$660.00 Total Payments and Credits $0.00 -$1,144.95 -$1,144.95 Detail *Indicates posting date - denotes Pay Over Time and/or Cash Advance activity Payments t Amount",
11/18/22,AUTOPAY PAYMENT RECEIVED - THANK YOU - Bank of America NA Credits Amount,484.95
09/26/22,DISPUTE CREDIT -SP HOOD BY AIR -,320.00
11/02/22,SP HOOD BY AIR -$320.00t DOVER DE,
11/08/22,AMEX Dining Credit - Reimbursement,10.00
11/16/22,UNDER ARMOUR DIRECT - BALTIMORE,10.00
09/26/22,DISPUTE CR REVERSAL -SP HOOD BY AIR,320.00
10/27/22,AMTRAK INT WASHINGTON DC $86.00t From: NYP,
10/29/22,AMTRAK INT WASHINGTON DC From: BBY,288.00
11/01/22,MIT DINING CAFE 4487 CAMBRIDGE MA 157321 02139,10.99
11/02/22,Uber Trip help.uber.com CA 57YGYTG4 02116,24.15
11/02/22,Shake Shack - 1271A (Web) 16164811005 WATERTOWN MA 1382166705106125602472,10.90
11/04/22,AplPay NYCT PAYGO NEW YORK NY LOCAL TRANSPORTATION,2.75
11/04/22,LOVEMAMA 0818 NEW YORK NY 212-254-2868,47.37
11/05/22,AplPay NYCT PAYGO NEW YORK NY LOCAL TRANSPORTATION,2.75
11/05/22,PRINCE ST. PIZZA NEW YORK NY 516-439-1824,20.25
11/06/22,AplPay NYCT PAYGO NEW YORK NY LOCAL TRANSPORTATION,2.75
11/06/22,SP DARN TOUGH NORTHFIELD VT +18024441800,68.00
11/09/22,TST* FELIPE'S TAQUERIA 300540875 CAMBRIDGE MA 6173549944,24.61
11/12/22,MICROSOFT*STORE MSBILL.INFO Z521JL8F87RA 98052,31.86
11/13/22,underarmour.com 888-727-6687 MD 888-427-6687,15.59
11/14/22,SP BIGHATSTORE DELRAY BEACH FL +13058988891,23.90
11/15/22,SP FREETRAIN BERMINGHAM GB 07903007650,24.00
11/15/22,THE NORTH FACE.COM (888)863-1968 WI APPAREL,50.00
11/15/22,underarmour.com 888-727-6687 MD 888-427-6687,35.36
11/22/22,SP ALO-YOGA COMMERCE CA +13232487531,82.00
