date,description,amount
10/18/22,"This date may not be the same date your bank will debit your bank account. Any inquiry to American Express concerning this debit should be made before 10/16/22. If your AutoPay payment is less than your Minimum Payment Due, we must receive an additional payment for at least the difference by10/18/22. For more information on your Pay Over Time Limit and your purchasing options, please seepage 6 Payments and Credits Summary Pay Over Time / Pay In Full Cash Advance Total Payments $0.00 $0.00t $0.00 Credits $0.00 -$1,731.53 -$1,731.53 Total Payments and Credits $0.00 -$1,731.53 -$1,731.53 Detail - denotes Pay Over Time and/or Cash Advance activity",
09/02/22,BEST BUY - WATERTOWN MA,"1,699.99"
09/19/22,HEAVENLY PATAGONIA 805 - SOUTH LAKE TA CA,31.54
08/25/22,AplPay CHIPOTLE CAMBRIDGE MA 617-500-9373,14.71
08/27/22,BEST BUY BURLINGTON MA 888BESTBUY,"1,699.99"
08/28/22,BEST BUY MHT 005348 29500005348 NASHUA NH 888BESTBUY,"1,793.99"
08/28/22,AplPay CHIPOTLE 1373 0000 NASHUA NH 603-888-0889,13.07
08/31/22,UBER EATS SAN FRANCISCO CA 8005928996,8.07
09/02/22,DELTA AIR LINES ATLANTA DELTA AIR LINES,208.60
09/02/22,4846 GYMIT WATERTOWN 4846 GYMIT WATE WATERTOWN MA 6179234441,39.95
09/02/22,AplPay CHIPOTLE 3333 0000 WATERTOWN MA 303-595-4000,10.33
09/04/22,AMTRAK INT WASHINGTON DC From: BOS,62.00
09/04/22,AMTRAK INT WASHINGTON DC From: NYP,138.00
09/05/22,UNITED AIRLINES HOUSTON TX UNITED AIRLINES,125.05
09/05/22,AplPay BERRYLINE Cambridge MA squareup.com/receipts,5.46
09/05/22,AplPay CVS PHARMACY CAMBRIDGE MA 8007467287,13.59
09/07/22,AplPay MCDONALD'S F14638 000000000468635 CAMBRIDGE MA 6178766509,5.66
09/08/22,AplPay NYCT PAYGO NEW YORK NY LOCAL TRANSPORTATION,2.75
09/08/22,AplPay NYCT PAYGO NEW YORK NY LOCAL TRANSPORTATION,2.75
09/09/22,AplPay NYCT PAYGO NEW YORK NY LOCAL TRANSPORTATION,2.75
09/09/22,AplPay NYCT PAYGO NEW YORK NY LOCAL TRANSPORTATION,2.75
09/09/22,AplPay NYCT PAYGO NEW YORK NY LOCAL TRANSPORTATION,2.75
09/10/22,AplPay NYCT PAYGO NEW YORK NY LOCAL TRANSPORTATION,2.75
09/10/22,AplPay NYCT PAYGO NEW YORK NY LOCAL TRANSPORTATION,2.75
09/11/22,AplPay NYCT PAYGO NEW YORK NY LOCAL TRANSPORTATION,2.75
09/17/22,AplPay CANTALOUPE 2 0000 MALVERN PA 888-561-4748,4.95
09/17/22,FORMAGGIO PIZZA EXPRESS 65000001215279 EL DORADO HIL CA 9168055904,17.15
09/18/22,HEAVENLY PATAGONIA 805 SOUTH LAKE TA CA 530-542-3385,31.54
09/18/22,AplPay CKE*HEAVENS LITTLE CAFE S 000021914 SOUTH LAKE TA CA 5305443324,14.14
09/19/22,AplPay EMPANASH 0000 SOUTH LAKE TA CA 530-314-3316,23.45
09/20/22,SHIOK SINGAPORE KITCH MENLO PARK CA RESTAURANT,90.11
09/22/22,UNITED AIRLINES SAN FRANCISCO CA UNITED AIRLINES,35.00
09/23/22,Uber Trip help.uber.com CA LS5SZ5YX 90007,20.40
