date,description,amount
11/18/22,"This date may not be the same date your bank will debit your bank account. Any inquiry to American Express concerning this debit should be made before 11/16/22. If your AutoPay payment is less than your Minimum Payment Due, we must receive an additional payment for at least the difference by11/18/22. For more information on your Pay Over Time Limit and your purchasing options, please seepage 5 Payments and Credits Summary Pay Over Time / Pay In Full Cash Advance Total Payments $0.00 -$3,048.69t -$3,048.69 Credits $0.00 $0.00 $0.00 Total Payments and Credits $0.00 -$3,048.69 -$3,048.69 Detail *Indicates posting date Payments Amount",
10/18/22,"AUTOPAY PAYMENT RECEIVED - THANK YOU - Bank of America NA New Charges Summary Pay In Full Pay Over Time Total Total New Charges $0.00 $1,444.95t $1,444.95 Detail - denotes Pay Over Time and/or Cash Advance activity","3,048.69"
09/22/22,HAE JANG CHON RESTAURANT 8483344002468 LOS ANGELES CA SUNKIM0804@GMAIL.COM,128.74
09/26/22,AplPay DOMINO'S 7801 000007801 LOS ANGELES CA 5626631400,19.69
09/26/22,SP HOOD BY AIR DOVER DE +14158129764,320.00
09/29/22,Uber Trip help.uber.com CA ZMR7DGKA 90007,4.46
09/29/22,TST* MAGEES KITCHEN 300605902 LOS ANGELES CA 3239384127,21.95
09/29/22,H MART ECC 1838 LOS ANGELES CA 929163004 90020,27.56
09/29/22,RALPHS GROCERY CO LOS ANGELES CA 8884373496,19.03
09/29/22,SSOONIE RAY 00-08036342403 LOS ANGELES CA BEAUTY/BARBER SHOP,85.00
09/30/22,Uber Trip help.uber.com CA PKEF4IJX 90010,10.98
09/30/22,Uber Trip help.uber.com CA K5BDSXW4 90007,13.25
10/02/22,Uber Trip help.uber.com CA 7XT242NB 90010,3.94
10/02/22,AplPay 10032 CAVA USC VILLA LOS ANGELES CA RESTAURANT,16.61
10/05/22,AplPay POT OF CHA 0000 LOS ANGELES CA 213-516-1888,6.00
10/05/22,RALPHS GROCERY CO LOS ANGELES CA 8884373496,98.77
10/06/22,AplPay DAVES HOT CHICKEN 1003 LOS ANGELES CA 10106717 90019,20.76
10/06/22,AplPay TST* BOBA AVE 8090 - 425 00013097 SAN GABRIEL CA RESTAURANT,6.46
10/08/22,AplPay YOGA-URT LOS ANGELES CA 213-318-5500,11.50
10/09/22,TRADER JOE'S #250 QPS 250 LOS ANGELES CA 626-599-3700,21.97
10/13/22,HATCH YAKITORI LOS ANGELES CA 310-704-6413,97.20
10/16/22,BT*DD *DOORDASH CHIPOTLE SAN FRANCISCO CA 8559731040,28.18
10/16/22,H MART ECC 1838 LOS ANGELES CA 1016234821 90020,92.99
10/16/22,PHO 24 LOS ANGELES CA 213-388-5507,38.30
10/17/22,AplPay UBER *LIME SAN FRANCISCO CA 8005928996,5.57
10/19/22,ARCO #42455 AMPM ARCO42455001 LOS ANGELES CA 0000000000,12.09
10/20/22,AplPay BOBA GUYS CULVER CITY Culver City CA squareup.com/receipts,7.95
10/20/22,AplPay TST* LOQUI CULVER CITY 00005103 CULVER CITY CA RESTAURANT,7.16
10/21/22,USH TICKETING ONLINE 0000 UNIVERSAL CIT CA 800-864-8377,214.00
10/21/22,AplPay MINIONS CAFE 0000 UNIVERSAL CIT CA 800-864-8377,36.39
10/22/22,I LOVE LA TERMINAL 5 0924 GARDENA CA 562-447-4515,23.30
10/22/22,Uber Trip help.uber.com CA 25P4SXME 91608,7.39
10/22/22,Uber Trip help.uber.com CA 25P4SXME 91608,37.76
