date,description,amount
02/18/23,"This date may not be the same date your bank will debit your bank account. Any inquiry to American Express concerning this debit should be made before 02/16/23. If your AutoPay payment is less than your Minimum Payment Due, we must receive an additional payment for at least the difference by02/18/23. For more information on your Pay Over Time Limit and your purchasing options, please seepage 5 Payments and Credits Summary Pay Over Time / Pay In Full Cash Advance Total Payments $0.00 -$2,110.98t -$2,110.98 Credits $0.00 -$1,134.31 -$1,134.31 Total Payments and Credits $0.00 -$3,245.29 -$3,245.29 Detail *Indicates posting date - denotes Pay Over Time and/or Cash Advance activity Payments t Amount",
01/17/23,AUTOPAY PAYMENT RECEIVED - THANK YOU - Bank of America NA Credits Amount,"2,110.98"
12/25/22,LEDGER* LEDGER - PARIS,889.31
01/12/23,SP FRANKIES BIKINIS - LOS ANGELES CA,235.00
01/24/23,AMEX Dining Credit - Reimbursement,10.00
12/28/22,DELTA AIR LINES ATLANTA DELTA AIR LINES,557.20
12/31/22,AplPay RAISING CANE'S 0546 0546 SOUTH SALT LA UT 40327 84115,17.23
12/31/22,AplPay REI #19 SALT LAKE CI SALT LAKE CIT UT SPORTING GOODS STORE,32.11
12/31/22,SKI N SEE SANDY UT 8015712031,214.50
12/31/22,AplPay CROWN BURGER #7 868800000013706 SANDY UT CNKATS@COMCAST.COM,13.62
12/31/22,THE GEAR ROOM COTTONWOOD HE UT 801-448-3037,160.88
01/01/23,WAL-MART SUPERCENTER 4208 4208 SALT LAKE CITY UT DISCOUNT STORE,11.41
01/01/23,TARGET 033654 09100033654 SALT LAKE CIT UT 612-3044357,25.19
01/01/23,LEFT FORK GRILL LLC 00-08039421196 SALT LAKE CIT UT RESTAURANT,54.89
01/02/23,AplPay WENDYS 6093 0000 SANDY UT 801-733-8880,3.78
01/03/23,AplPay CINEMARK THEATRES 05 SALT LAKE CITY UT MOVIE THEATER,5.93
01/03/23,AplPay CINEMARK THEATRES 05 SALT LAKE CITY UT MOVIE THEATER,7.54
01/05/23,AplPay NEW LITTLE SAIGON LLC 0000 SALT LAKE CIT UT 801-505-1283,19.19
01/06/23,TST* MUMBAI HOUSE SLC 00048073 SALT LAKE CITY UT RESTAURANT,87.54
01/08/23,DELTA AIR LINES ATLANTA DELTA AIR LINES,90.30
01/08/23,AplPay SUBWAY SOUTH JORDAN UT FAST FOOD RESTAURANT,9.12
01/08/23,AplPay 6231365 - PANDA EXPRESS 52749 SALT LAKE CITY UT RESTAURANT,10.00
01/09/23,DELTA AIR LINES ATLANTA DELTA AIR LINES,30.00
01/17/23,AplPay MA MAGOOS 125520029295581 CAMBRIDGE MA JDGRK@YAHOO.COM,12.79
01/20/23,AplPay SHAKE SHACK Cambridge MA squareup.com/receipts,12.62
01/21/23,AplPay TST* DIG INN- HARVARD SQ 300609946 CAMBRIDGE MA 6179044340,14.00
