date,description,amount
07/18/23,"This date may not be the same date your bank will debit your bank account. Any inquiry to American Express concerning this debit should be made before 07/16/23. If your AutoPay payment is less than your Minimum Payment Due, we must receive an additional payment for at least the difference by07/18/23. Continued on page3 Payment Coupon Pay by Computer Pay by Phone Account Ending3-51005 Do not staple or use paper clips americanexpress.com/pbc 1-800-472-9297 Enter 15 digit account # on all payments. Make check payable to American Express. B RYAN HUANG Payment Due Date 14 TAYLOR RD 07/18/23 BELMONT MA 02478 New Balance $705.72 AutoPay Amount $705.72 TATDADADTTADFTATDFFTTTFAATDDDFDADTFFDDFDFADTTDTTFADDDFFTATTTFTFDD . See reverse side for instructions AMERICAN EXPRESS $ on how to update your address, P.O. BOX 1270 Amount Enclosed phone number, or email. NEWARK NJ 07101-1270 0000349993021106257 000070572000004000 20 Á BRYAN HUANG Account Ending3-51005 p. 2/8 Payments: Your payment must be sent to the payment address shown on be billed at the rates such establishments use. your statement and must be received by 5 p.m. local time at that address to Credit Balance: A credit balance (designated CR) shown on this statement be credited as of the day it is received. Payments we receive after 5 p.m. will represents money owed to you. If within the six-month period following not be credited to your Account until the next day. Payments must also: (1) the date of the first statement indicating the credit balance you do not include the remittance coupon from your statement; (2) be made with a request a refund or charge enough to use up the credit balance, we will single check drawn on a US bank and payable in US dollars, or with a send you a check for the credit balance within 30 days if the amount is negotiable instrument payable in US dollars and clearable through the US $1.00 or more. banking system; and (3) include your Account number. If your payment Credit Reporting: We may report information about your Account to credit does not meet all of the above requirements, crediting may be delayed and bureaus. Late payments, missed payments, or other defaults on your you may incur late payment fees and additional interest charges. Electronic Account may be reflected in your credit report. payments must be made through an electronic payment method payable What To Do If You Think You Find A Mistake On Your Statement in US dollars and clearable through the US banking system. Please do not If you think there is an error on your statement, write to us at: send post-dated checks as they will be deposited upon receipt. Any American Express, PO Box 981535, El Paso TX 79998-1535 restrictive language on a payment we accept will have no effect on us You may also contact us on the Web: www.americanexpress.com without our express prior written approval. We will re-present to your In your letter, give us the following information: financial institution any payment that is returned unpaid. - Account information:Your name and account number. Permission for Electronic Withdrawal: (1) When you send a check for - Dollar amount:The dollar amount of the suspected error. payment, you give us permission to electronically withdraw your payment - Description of Problem:If you think there is an error on your bill, from your deposit or other asset account. We will process checks describe what you believe is wrong and why you believe it is a mistake. electronically by transmitting the amount of the check, routing number, You must contact us within 60 days after the error appeared on your account number and check serial number to your financial institution, statement. unless the check is not processable electronically or a less costly process is You must notify us of any potential errors in writing [or electronically]. You available. When we process your check electronically, your payment may may call us, but if you do we are not required to investigate any potential be withdrawn from your deposit or other asset account as soon as the same errors and you may have to pay the amount in question. day we receive your check, and you will not receive that cancelled check While we investigate whether or not there has been an error, the following with your financial account statement. If we cannot collect the funds are true: electronically we may issue a draft against your deposit or other asset - We cannot try to collect the amount in question, or report you as account for the amount of the check. (2) By using Pay By Computer, Pay By delinquent on that amount. Phone or any other electronic payment service of ours, you give us - The charge in question may remain on your statement, and we may permission to electronically withdraw funds from the deposit or other asset continue to charge you interest on that amount. But, if we determine that account you specify in the amount you request. Payments using such we made a mistake, you will not have to pay the amount in question or any services of ours received after 8:00 p.m. MST may not be credited until the interest or other fees related to that amount. next day. - While you do not have to pay the amount in question, you are responsible How We Calculate Your Balance: We use the Average Daily Balance (ADB) for the remainder of your balance. method (including new transactions) to calculate the balance on which we - We can apply any unpaid amount against your credit limit. charge interest for Pay Over Time and/or Cash Advance balances on your Your Rights If You Are Dissatisfied With Your Credit Card Purchases Account. Call the Customer Care number on page 3 for more information If you are dissatisfied with the goods or services that you have purchased about this balance computation method and how resulting interest with your credit card, and you have tried in good faith to correct the charges are determined. The method we use to figure the ADB and interest problem with the merchant, you may have the right not to pay the results in daily compounding of interest. remaining amount due on the purchase. Paying Interest:Your due date is at least 25 days after the close of each To use this right, all of the following must be true: billing period. If you have Pay Over Time, we will not charge you interest on 1. The purchase must have been made in your home state or within 100 charges automatically added to a Pay Over Time balance if each month you miles of your current mailing address, and the purchase price must have pay your Account Total New Balance on your billing statement (or, if you been more than $50. (Note: Neither of these is necessary if your purchase have a Plan balance, your Adjusted Balance on your billing statement) by was based on an advertisement we mailed to you, or if we own the the due date. If you have Cash Advance on your Account, we will begin company that sold you the goods or services.) charging interest on cash advances on the transaction date. If you have Pay 2. You must have used your credit card for the purchase. Purchases made Over Time Select: we will begin charging interest on purchases added to a with cash advances from an ATM or with a check that accesses your credit Pay Over Time Select balance at your request on the date that they are card account do not qualify. added to your Pay Over Time Select balance. 3. You must not yet have fully paid for the purchase. Foreign Currency Charges:If you make a Charge in a foreign currency, we If all of the criteria above are met and you are still dissatisfied with the will convert it into US dollars on the date we or our agents process it. We purchase, contact us in writing or electronically at: will choose a conversion rate that is acceptable to us for that date, unless a American Express, PO Box 981535, El Paso TX 79998-1535 particular rate is required by law. The conversion rate we use is no more www.americanexpress.com than the highest official rate published by a government agency or the While we investigate, the same rules apply to the disputed amount as highest interbank rate we identify from customary banking sources on the discussed above. After we finish our investigation, we will tell you our conversion date or the prior business day. This rate may differ from rates in decision. At that point, if we think you owe an amount and you do not pay effect on the date of your charge. Charges converted by establishments will we may report you as delinquent. Pay Your Bill with AutoPay Deduct your payment from your bank account automatically each month. - Avoid late fees - Save time Change of Address, phone number, email Visit americanexpress.com/autopay - Online atwww.americanexpress.com/updatecontactinfo today to enroll. - Via mobile device - Voice automated: call the number on the back of your card - For name, company name, and foreign address or phone changes, please call Customer Care Please do not add any written communication or address change on this stub For information on how we protect your privacy and to set your communication and privacy choices, please visit www.americanexpress.com/privacy. American Express® Gold Card p. 3/8 BRYAN HUANG Closing Date06/23/23 Account Ending3-51005 Customer Care & Billing Inquiries 1-800-327-2177 International Collect 1-336-393-1111 Website: americanexpress.com Lost or Stolen Card 1-800-992-3404 Cash Advance at ATMs Inquiries 1-800-CASH-NOW Customer Care Payments Large Print & Braille Statements 1-800-327-2177 & Billing Inquiries P.O. BOX 1270 P.O. BOX 981535 NEWARK NJ 07101- EL PASO, TX 1270 79998-1535 Hearing Impaired Online chat atamericanexpress.com or useRelay dial 711 and1-800-327-2177 For more information on your Pay Over Time Limit and your purchasing options, please seepage 5 Payments and Credits Summary Pay Over Time / Pay In Full Cash Advance Total Payments $0.00 -$2,302.79t -$2,302.79 Credits $0.00 -$47.18 -$47.18 Total Payments and Credits $0.00 -$2,349.97 -$2,349.97 Detail *Indicates posting date - denotes Pay Over Time and/or Cash Advance activity Payments t Amount",
06/18/23,"AUTOPAY PAYMENT RECEIVED - THANK YOU - Bank of America, NA Credits Amount","2,302.79"
05/29/23,IKEA STOUGHTON 158 - STOUGHTON MA,37.18
06/20/23,AMEX Dining Credit - Reimbursement,10.00
05/28/23,AplPay PHO VIETS BROOKLINE MA 857-222-3880,19.40
05/29/23,IKEA STOUGHTON 0000 STOUGHTON MA 888-888-4534,109.41
05/29/23,IKEA STOUGHTON REST 0000 STOUGHTON MA 888-888-4534,1.61
05/29/23,AplPay MCDONLADS LEXINGTON MA 7818611144,8.97
06/07/23,MERRELL.COM 707 ROCKFORD MI 616-866-5559,60.00
06/07/23,AplPay TST* FELIPE'S TAQUERIA 300540875 CAMBRIDGE MA 6173549944,12.31
