date,description,amount
06/18/23,"This date may not be the same date your bank will debit your bank account. Any inquiry to American Express concerning this debit should be made before 06/16/23. If your AutoPay payment is less than your Minimum Payment Due, we must receive an additional payment for at least the difference by06/18/23. For more information on your Pay Over Time Limit and your purchasing options, please seepage 6 American Express® High Yield Savings Account No monthly fees. No minimum opening monthly deposit. 24/7 customer support. FDIC insured. Meet your savings goals faster with an American Express High Yield Savings Account. Terms apply. Learn more by visiting americanexpress.com/savenow Payments and Credits Summary Pay Over Time / Pay In Full Cash Advance Total Payments $0.00 -$1,471.98t -$1,471.98 Credits $0.00 -$10.00 -$10.00 Total Payments and Credits $0.00 -$1,481.98 -$1,481.98 Detail *Indicates posting date - denotes Pay Over Time and/or Cash Advance activity Payments t Amount",
05/18/23,AUTOPAY PAYMENT RECEIVED - THANK YOU - Bank of America NA Credits Amount,"1,471.98"
05/06/23,AMEX Dining Credit - Reimbursement,10.00
04/24/23,AplPay DEPOP SOUTH SAN FRANCISCO CA +442038180121,14.40
04/25/23,UBER EATS help.uber.com CA ISTIOQ46 94103,7.08
04/30/23,Shake Shack - 1121 (POS) 16156375009 CAMBRIDGE MA 10011 02138,15.92
04/30/23,AMTRAK INT WASHINGTON DC From: NYP,60.35
05/04/23,AplPay DEPOP NEW YORK NY +18449353879,31.20
05/04/23,SSENSE WILMINGTON DE +18776376002,233.44
05/04/23,AplPay DEPOP NEW YORK NY +18449353879,81.20
05/04/23,AplPay DEPOP OMAHA NE +442038180121,35.40
05/04/23,AplPay DEPOP NEW YORK NY +18449353879,30.00
05/05/23,ETSY.COM 888-961-4798 NY MISC APPAREL STORE,32.29
05/07/23,ALASKA AIRLINES SEATTLE WA ALASKA AIRLINES,30.00
05/07/23,WWW.LUCKYSCENT.COM 0634 BURBANK CA 323-931-8297,8.00
05/08/23,Uber Trip help.uber.com CA WRUIWKEG 02128,35.60
05/08/23,Uber Trip help.uber.com CA 25TZ23DY 94301,48.06
05/08/23,DUNKIN #341135 Q35 3411 E BOSTON MA 617-265-5800,7.92
05/08/23,BUN MEE 650000011089086 SAN FRANCISCO CA 6508218307,16.71
05/09/23,Uber Trip help.uber.com CA ERQNLJKY 94301,72.26
05/10/23,PATIO AT RUDYS 650000010045121 PALO ALTO CA 6503222575,33.70
05/11/23,ALASKA AIRLINES SEATTLE WA ALASKA AIRLINES,30.00
05/11/23,WESTIN HOTELS-F/B PALO ALTO CA 406-582-7396,11.28
05/12/23,UBER EATS help.uber.com CA 6PFN7KGZ 94103,27.76
05/12/23,Uber Trip help.uber.com CA AV53RAW4 90007,50.94
05/12/23,Uber Trip help.uber.com CA OA4FUYE5 94128,41.15
05/13/23,CHATGPT SUBSCRIPTION SAN FRANCISCO CA +14158799686,20.00
05/14/23,AplPay UBER *LIME SAN FRANCISCO CA 8005928996,3.89
05/14/23,BT*DD *DOORDASH JACKINTHE SAN FRANCISCO CA 8559731040,19.78
05/14/23,2ND STREET MELROSE LOS ANGELES CA 310-303-2668,204.22
05/15/23,Uber Trip help.uber.com CA HRQCRJGB 90036,25.05
05/16/23,ALASKA AIRLINES SEATTLE WA ALASKA AIRLINES,497.79
05/16/23,AplPay ARCO #42455 AMPM ARCO42455001 LOS ANGELES CA 0000000000,10.90
05/17/23,Uber Trip help.uber.com CA EZBWNF4P 90232,18.40
05/17/23,Uber Trip help.uber.com CA JHO2VKXZ 90007,15.97
05/17/23,"BANG BANG NOODLES, LLC Culver CIty CA squareup.com/receipts",20.95
05/17/23,AplPay G-STAR RAW RETAIL INC NEW YORK NY MEN'S/WOMEN'S CLOTHNG,186.16
05/18/23,AplPay UBER *LIME SAN FRANCISCO CA 8005928996,6.43
05/18/23,AplPay UBER *LIME SAN FRANCISCO CA 8005928996,7.70
05/18/23,AplPay BLAZE PIZZA 2 000000001 LOS ANGELES CA 3104578305,13.74
05/18/23,BESTIA 056220018672132 213-9358635 CA 2139358635,170.63
05/19/23,MOJANG STOCKHOLM SE 46703783135,7.99
05/20/23,BT*DD *DOORDASH BADMAASH SAN FRANCISCO CA 8559731040,80.48
05/20/23,BURBANK AIRPORT FOOD & BE 650000011981 BURBANK CA 5162561788,24.22
05/21/23,Uber Trip help.uber.com CA AC7SVA6X 91505,38.27
05/21/23,AplPay BAGEL MANIA- LAS VEGAS 000000001 LAS VEGAS NV 7022036915,22.74
