date,description,amount
01/17/23,"This date may not be the same date your bank will debit your bank account. Any inquiry to American Express concerning this debit should be made before 01/15/23. If your AutoPay payment is less than your Minimum Payment Due, we must receive an additional payment for at least the difference by01/18/23. For more information on your Pay Over Time Limit and your purchasing options, please seepage 7 Congratulations! You saved with offers and benefits this statement period. Please refer to the Payments and Credits section of your statement. View all available offers and benefits when you log in to your online Card account atamericanexpress.com Payments and Credits Summary Pay Over Time / Pay In Full Cash Advance Total Payments $0.00 -$1,374.28t -$1,374.28 Credits $0.00 -$150.95 -$150.95 Total Payments and Credits $0.00 -$1,525.23 -$1,525.23 Detail *Indicates posting date - denotes Pay Over Time and/or Cash Advance activity Payments t Amount",
12/18/22,AUTOPAY PAYMENT RECEIVED - THANK YOU - Bank of America NA Credits Amount,"1,374.28"
12/08/22,707-MERRELL.COM - ROCKFORD,20.00
12/09/22,ALASKA AIRLINES - SEATTLE WA,30.00
12/14/22,THE NORTH FACE.COM - (888)863-1968 WI,50.00
12/15/22,SP BIGHATSTORE - DELRAY BEACH FL,16.95
12/19/22,SP FREETRAIN - BERMINGHAM GB,24.00
12/23/22,AMEX Dining Credit - Reimbursement,10.00
11/27/22,TST* GROUNDER CAFE 300532416 MEDFORD MA 7812194929,5.20
12/01/22,CHIPOTLE 1520 0000 BOSTON MA 857-244-6579,9.74
12/04/22,JETBLUE AIRWAYS 2104007 FOREST HILLS OK JETBLUE AIRWAYS,30.00
12/05/22,Uber Trip help.uber.com CA B4TKZ67J 94108,28.93
12/05/22,AplPay TST* GOLDILOCKS FILIPINO 00012023 SAN FRANCISCO CA RESTAURANT,27.93
12/06/22,ALASKA AIRLINES SEATTLE WA ALASKA AIRLINES,197.20
12/07/22,MERRELL.COM 707 ROCKFORD MI 616-866-5559,76.49
12/07/22,DOORDASH*CHAAT CORNER SAN FRANCISCO CA +16506819470,20.95
12/07/22,RURAL RAMEN BAR SAN FRANCISCO CA USFC1MIDW94108,55.08
12/08/22,ALASKA AIRLINES SEATTLE WA ALASKA AIRLINES,30.00
12/08/22,IKON - Stratus 16215608002 Denver CO 1BD011B498F80C00580216,709.00
12/09/22,Uber Trip help.uber.com CA GVALDGTI 94117,27.95
12/09/22,Uber Trip help.uber.com CA 6RJFHGMH 94128,7.71
12/09/22,Uber Trip help.uber.com CA 8005928996,51.43
12/09/22,AplPay HINODEYA DOWNTOWN San Francisco CA squareup.com/receipts,21.19
12/09/22,AplPay ARCO #42455 AMPM ARCO42455001 LOS ANGELES CA 0000000000,13.37
12/09/22,CANTALOUPE 2 0000 MALVERN PA 888-561-4748,6.64
12/09/22,CANTALOUPE 2 0000 MALVERN PA 888-561-4748,6.64
12/09/22,HATCH YAKITORI LOS ANGELES CA 310-704-6413,113.40
12/10/22,BT*DD *DOORDASH JACKSFAMI SAN FRANCISCO CA 8559731040,19.16
12/10/22,BT*DD *DOORDASH ROSCOESHO SAN FRANCISCO CA 8559731040,52.46
12/11/22,DELTA AIR LINES ATLANTA DELTA AIR LINES,30.00
12/11/22,BRERA RESTAURANT 00-08040239496 LOS ANGELES CA RESTAURANT,201.44
12/11/22,Uber Trip help.uber.com CA 7DVESIZJ 90045,36.52
12/11/22,687- THE SCOOP - TER SAN FRANCISCO CA MISC/SPECIALTY RETAIL,6.58
12/11/22,BUN MEE 650000011089086 SAN FRANCISCO CA 6508218307,34.72
12/12/22,Uber Trip help.uber.com CA 7DVESIZJ 90045,5.47
12/12/22,MOJANG STOCKHOLM SE 46703783135,7.99
12/13/22,TARGET.COM 800-591-3869 MN 800-591-3869,54.43
12/16/22,AplPay TST* FELIPE'S TAQUERIA 300540875 CAMBRIDGE MA 6173549944,12.31
12/17/22,AplPay REI #222 CAMBRIDGE CAMBRIDGE MA SPORTING GOODS STORE,11.89
12/17/22,AplPay Shake Shack - 1313A (Web) 161688960 Somerville MA 1486735606049997402145,14.32
12/17/22,AplPay LEVI'S OUTLET 290 0000 SOMMERVILLE MA 541-242-7000,26.99
12/18/22,BHN*HAPPYCARDS 855-606-3493 CA 10128171 02478,100.00
12/20/22,LEDGER* LEDGER PARIS +33600000000,889.31
12/20/22,SP FRANKIES BIKINIS LOS ANGELES CA +13233544133,235.00
12/20/22,AplPay DOMINO'S PIZZA BRATTLEBORO VT 8022575010,29.84
12/20/22,AplPay DOMINO'S PIZZA BRATTLEBORO VT 8022575010,2.46
12/23/22,TST* FLATBREAD COMPANY- B 300588383 BOSTON MA 6179034595,79.55
