date,description,amount
05/18/23,"This date may not be the same date your bank will debit your bank account. Any inquiry to American Express concerning this debit should be made before 05/16/23. If your AutoPay payment is less than your Minimum Payment Due, we must receive an additional payment for at least the difference by05/18/23. For more information on your Pay Over Time Limit and your purchasing options, please seepage 5 Payments and Credits Summary Pay Over Time / Pay In Full Cash Advance Total Payments $0.00 -$1,480.02t -$1,480.02 Credits $0.00 -$801.99 -$801.99 Total Payments and Credits $0.00 -$2,282.01 -$2,282.01 Detail *Indicates posting date - denotes Pay Over Time and/or Cash Advance activity Payments t Amount",
04/18/23,AUTOPAY PAYMENT RECEIVED - THANK YOU - Bank of America NA Credits Amount,"1,480.02"
03/29/23,AMEX Dining Credit - Reimbursement,10.00
04/01/23,THE CYCLE LOFT - LEXINGTON MA,750.00
04/13/23,FRG*MLBSHOP.COM - JACKSONVILLE FL,41.99
03/24/23,Shake Shack - 1271A (Web) 16164811005 WATERTOWN MA 1711311076388045302472,13.03
03/25/23,THE CYCLE LOFT LEXINGTON MA BICYCLE SHOP,750.00
03/26/23,IGGY'S BREAD OF THE WORLD Cambridge MA squareup.com/receipts,21.90
03/27/23,ECONOMISTS FOR UKRAINE EL CERRITO CA +16095218034,25.00
03/30/23,FRG*MLBSHOP.COM JACKSONVILLE FL 888-652-7467,41.99
04/01/23,UBER EATS help.uber.com CA LL2UZSU4 94103,20.59
04/01/23,SHIKI 000000001 BROOKLINE MA 6177380200,98.11
04/01/23,CENTRAL ROCK GYM CAMBR CENTRAL ROCK GY CAMBRIDGE MA MEMBERSHIP CLUB,115.00
04/06/23,BURGER KING CAMBRIDGE MA 281-207-2700,7.36
04/06/23,BURGER KING CAMBRIDGE MA 281-207-2700,1.38
04/10/23,820 MEMORIAL DR 10009322008 CAMBRIDGE MA 6176611500,6.50
04/10/23,BUFFALO EXCHANGE MA02 0975 BROOKLINE MA 617-779-7901,24.22
04/10/23,PHO VIETS BROOKLINE MA 857-222-3880,8.83
04/11/23,ABERCROMBIE & FITCH 000010000 NEW ALBANY OH 8666813115,133.25
04/13/23,PAYPAL *OASCOMPANYA ORDER 724520206 SW 724520206,140.00
04/16/23,ETSY.COM 888-961-4798 NY MISC APPAREL STORE,12.44
04/18/23,NOOKLYN NYC NEW YORK NY +19292764927,9.94
04/20/23,AplPay DEPOP NEW YORK NY +18449353879,26.40
04/22/23,TST* BOSTON DONER 00060769 BOSTON MA RESTAURANT,16.04
04/23/23,TST* THE HARP - BOSTON 300605560 BOSTON MA 6177421010,10.00
